Gene Name,Protein IDs,Tumor_vs_Normal_log2 fold change,Tumor_vs_Normal_p.val,Tumor_vs_Normal_p.adj,significant,Tumor_vs_Normal_significant,imputed,num_NAs
GPBP1,Q86WP2,0.484,0.00799,0.0201,FALSE,FALSE,FALSE,0
GPC1,P35052,0.298,0.174,0.258,FALSE,FALSE,FALSE,0
GPC6,Q9Y625,0.406,0.00565,0.015,FALSE,FALSE,FALSE,0
GPCPD1,Q9NPB8,0.62,1.02E-06,1.05E-05,FALSE,FALSE,FALSE,0
GPD2,P43304,-0.00907,0.931,0.951,FALSE,FALSE,FALSE,0
GPKOW,Q92917,0.0664,0.308,0.406,FALSE,FALSE,FALSE,0
GPLD1,P80108,0.346,0.0742,0.129,FALSE,FALSE,FALSE,0
GPN1,Q9HCN4,0.274,0.00116,0.00388,FALSE,FALSE,FALSE,0
GPN2,Q9H9Y4,0.225,0.0605,0.108,FALSE,FALSE,TRUE,8
GPN3,Q9UHW5,0.051,0.497,0.592,FALSE,FALSE,FALSE,0
GPR107,Q5VW38,0.54,0.0125,0.0292,FALSE,FALSE,FALSE,0
GPR108,Q9NPR9,0.393,0.000204,0.000877,FALSE,FALSE,FALSE,0
GPR143,P51810,0.44,0.56,0.647,FALSE,FALSE,TRUE,16
GPR89A,B7ZAQ6,-0.295,0.107,0.172,FALSE,FALSE,FALSE,0
GPRASP2,Q96D09,-0.325,0.0513,0.0944,FALSE,FALSE,FALSE,0
GPRC5B,Q9NZH0,0.0578,0.778,0.833,FALSE,FALSE,FALSE,0
GPRIN1,Q7Z2K8,-0.15,0.402,0.501,FALSE,FALSE,FALSE,0
GPRIN3,Q6ZVF9,0.0244,0.876,0.909,FALSE,FALSE,FALSE,0
GPS1,Q13098,-0.0149,0.768,0.825,FALSE,FALSE,FALSE,0
GPS2,Q13227,0.0803,0.348,0.447,FALSE,FALSE,FALSE,0
GPSM1,Q86YR5,0.325,0.0247,0.0518,FALSE,FALSE,TRUE,8
GPSM2,P81274,-0.388,0.093,0.154,FALSE,FALSE,TRUE,16
GPX1,P07203,0.311,0.0282,0.0578,FALSE,FALSE,FALSE,0
GPX4,P36969,-0.416,0.00888,0.022,FALSE,FALSE,FALSE,0
GRAMD2B,Q96HH9,-0.338,0.0507,0.0936,FALSE,FALSE,FALSE,0
GRAP,Q13588,0.43,0.00886,0.022,FALSE,FALSE,FALSE,0
GRB10,Q13322,0.503,0.0074,0.0189,FALSE,FALSE,FALSE,0
